,Hebrew Gematria,Standard English,English Qaballa,Trigrammaton Eng Qaballah
LAURA PALMER,498,708,120,108
DALE COOPER,278,564,124,95
LELAND PALMER,286,678,137,125
BOB,54,114,47,50a
OWL,970,300,12,19
UTI,309,300,64,34
STELE OF JEU,1081,708,164,118
SARAH PALMER,376,672,110,100
ISHTAR,288,450,69,46
PHILLIP JEFFRIES,987,960,248,99
PALMER,196,390,87,58
GORDON COLE,309,648,104,118
DOUGIE JONES,1060,744,156,151
DIANE,59,198,69,65
TWIN PEAKS,1215,708,130,95
THE GIANT,270,504,126,74
SYCAMORE TREE,849,882,185,147
SYCAMORE TREES,939,996,190,162
SYCAMORE,659,594,99,98
HORNE,183,360,62,64
JOSIE,754,348,76,45
JUDY,1204,360,54,73
PACKARD,159,324,68,70
JOSIE PACKARD,913,672,144,115
BENJAMIN HORNE,910,768,196,178
ONE EYED JACKS,1213,702,161,160
NORMAS DINER,429,780,140,163
RR DINER,298,516,104,102
DOUBLE R DINER,499,762,169,180
PALE HORSE,319,594,107,78
LOG LADY,502,456,44,69
THE ARM,224,390,87,65
ARM,111,192,34,40
DAATH BAG,124,264,68,81
DAATH,114,204,36,45
BAG,10,60,32,36
HURLEY,713,534,75,74
JAMES,726,288,68,61
JAMES HURLEY,1439,822,143,135
WALLY,1341,438,23,33
WALDO,975,330,19,47
LEO JOHNSON,953,762,101,117
LEO,75,192,34,24
CANADA,50,144,36,64
JESUS,985,444,68,75
JESUS CHRIST,1275,906,149,118
LAMB,53,168,44,47
DEER,94,192,68,63
BUNNY,682,456,80,111
HAWK,919,258,17,33
ILL CATCH YOU WITH MY DEATH BAG,2389,1650,303,224
ILL CATCH JEU WITH MY DAATH BAG,2540,1476,298,208
THE OWLS ARE NOT WHAT THEY SEEM,3101,1962,329,264
EMERALD TABLET,373,708,188,147
WASHINGTON,1245,780,106,109
WASHINGTON DC,1252,822,125,134
WASHINGTON STATE,1541,1170,185,160
FBI,17,102,61,32
DID YOU FIND HIM,773,846,183,182
HIM,47,180,48,24
OPERATION PAPERCLIP,693,1254,293,136
OPERATION NEPTUNE,845,1248,284,201
DONNA,135,288,42,86
AMEN,76,198,61,63
BLUE APE OF THOTH,615,924,204,137
DUCK EYE,627,444,110,111
SACRED MOUND,507,702,127,175
COOPER,248,432,90,53
TRUMAN,451,522,89,98
BRIGGS,195,372,82,71
HAYWARD,1394,480,42,76
WINDOM EARLE,1144,714,139,132
JENNINGS,831,552,122,118
MIKE,54,228,78,51
MARTEL,236,414,85,63
ECKHARDT,211,420,94,86
BLUE ROSE,452,582,113,111
JOHN JUSTICE WHEELER,2728,1260,260,180
AUDREY HORNE,873,804,138,162
CARRIE PAGE,251,498,149,81
WOODSMEN,1169,648,88,124
HOMELESS,298,576,94,91
DID JEU FIND HIM,928,696,202,174
JEU UTI,1114,516,122,79
JEU UTA,1106,468,100,84
LOG,77,204,20,22
PIERRE,239,426,123,58
CHALFONT,228,474,83,66
TREMOND,309,534,109,114
MRS CHALFONT,428,774,121,116
MRS TREMOND,509,834,147,164
DONNA HAYWARD,1529,768,84,162
CATHRINE MARTELL,502,954,203,134
THE MUFFIN,404,612,164,119
THE GREAT WENT,1351,876,192,131
MADDY FERGUSON,917,912,158,214
MUFFIN,291,414,111,94
WHAT YEAR IS THIS,1801,1110,169,117
ABRAHADABRA,181,342,79,119
ODESSA,240,378,49,81
FIRE WALK WITH ME,2083,978,193,124
WHITE HORSE,1255,780,132,88
STELE OF JEUUTI,1390,1008,228,152
RICHARD,185,366,71,61
DALE,30,132,34,42
LINDA,74,240,46,53
RICHARDANDLINDA,304,720,138,166
LAURA,302,318,33,50
CREAMED CORN,301,594,149,141
GARMONBOZIA,770,726,125,139
PAIN AND SUFFERING,598,984,228,211
DIANE EVANS,895,564,124,144
WITCH,1020,378,67,22
SILVER STAR,1175,858,119,108
NUIT,349,384,78,58
FISH,113,252,50,30
CARRIE,178,324,86,48
PAGE,73,174,63,33
PRIESTESS,529,780,150,98
CIA,13,78,37,7
NAVY,1141,372,40,69
GOOD BUNNY,793,702,111,165
BAD BUNNY,689,498,107,159
MILK AND COOKIES,331,846,165,158
COFFEE,75,240,106,62
MILK,69,270,55,39
